file,file_in_repo,repo,repo_version,name,parent_function
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttfnegative
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.add,ttfadd
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttfadd
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.subtract,ttfsubtract
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttfsubtract
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.add,ttfmultiply
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.multiply,ttfmultiply
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.multiply,ttfmultiply
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttfmultiply
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.divide,ttfdivide
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.subtract,ttfdivide
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.multiply,ttfdivide
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.multiply,ttfdivide
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.multiply,ttfdivide
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttfdivide
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.to_float,ttfmaximum
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.equal,ttfmaximum
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.to_float,ttfmaximum
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.equal,ttfmaximum
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttfmaximum
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.ForwardNotImplementedError,ttfavg_pool
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttfavg_pool
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent.ForwardNotImplementedError,ttfmax_pool
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,ttfmax_pool
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.shape,tshape
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangent_,tshape
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,grads.UNIMPLEMENTED_ADJOINTS.update,
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,grads.get_module_functions,
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,set,
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tangents.UNIMPLEMENTED_TANGENTS.update,
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,grads.get_module_functions,
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,set,
